threshold,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,inverse_clarity,"(0,0.1]",82,0.021028567129080245,106.42682926829268,1158.0487804878048,0.4687549420973149,0.4715578556060791,0.41519347624278363,0.396341472864151,0.2467104817291784,0.21505376344086022
5,inverse_clarity,"(0.1,0.3]",15,0.2171705905470709,147.33333333333334,2304.9333333333334,0.4585169285535812,0.4285714328289032,0.4487939884265264,0.4318181872367859,0.24789937213423208,0.25862068965517243
5,inverse_clarity,"(0.3,0.5]",14,0.4113568249316429,212.42857142857142,4974.071428571428,0.51025861744978,0.45325958303042824,0.4078518258673804,0.4539719521999359,0.21220689025061193,0.21995454545454546
5,inverse_clarity,"(0.5,1.0]",5,0.6647404433663195,12.2,1250.0,0.8,1.0,0.0,0.0,0.0,0.0
10,directional_inverse_strength,zero,78,0.0,81.82051282051282,719.3076923076923,0.6479725650760716,0.6016372059072768,0.25647364866036254,0.22607164084911346,0.14517948736894334,0.127992799279928
10,directional_inverse_strength,"(0,0.1]",45,0.020628607592137325,172.4,1693.1555555555556,0.479418594543896,0.5259740310055869,0.4232907478104938,0.3812169283628464,0.22165795955557355,0.20742661943319837
10,directional_inverse_strength,"(0.1,0.3]",21,0.18483107093602436,150.76190476190476,1783.5238095238096,0.4614295070471407,0.4267040193080902,0.39941164212567465,0.37837839126586914,0.24057641300955476,0.21212121212121213
10,directional_inverse_strength,"(0.3,0.5]",26,0.3878605658284288,93.5,2252.5384615384614,0.4788731352149785,0.4455214866570064,0.4357815161347389,0.4590855985879898,0.25448913392489003,0.2602627257799672
10,directional_inverse_strength,"(0.5,1.0]",12,0.7146850762665128,43.75,2574.8333333333335,0.616245717874595,0.5,0.20109028493364653,0.16250000149011612,0.11448189479262587,0.11051136363636363
10,mutual_inverse_strength,zero,78,0.0,81.82051282051282,719.3076923076923,0.6479725650760716,0.6016372059072768,0.25647364866036254,0.22607164084911346,0.14517948736894334,0.127992799279928
10,mutual_inverse_strength,"(0,0.1]",60,0.02190228248707096,130.85,1265.25,0.47642004699224516,0.48586877754756386,0.42255553031961124,0.38750000298023224,0.2399220400433014,0.2143181523290515
10,mutual_inverse_strength,"(0.1,0.3]",19,0.19789167127592275,148.1578947368421,2043.421052631579,0.4325438159749025,0.4539170392921993,0.41577381723456913,0.38735993206501007,0.22787733801508164,0.20294117647058824
10,mutual_inverse_strength,"(0.3,0.5]",15,0.3848414684672381,181.33333333333334,2995.9333333333334,0.49599641419592355,0.4428571420056479,0.4371389955282211,0.46022728085517883,0.23233315577079833,0.224
10,mutual_inverse_strength,"(0.5,1.0]",10,0.604954830048984,49.4,4343.1,0.6866024996553148,0.6445597069604057,0.13614947646856307,0.0625,0.0813443289773013,0.04456824512534819
10,inverse_clarity,zero,78,0.0,81.82051282051282,719.3076923076923,0.6479725650760716,0.6016372059072768,0.25647364866036254,0.22607164084911346,0.14517948736894334,0.127992799279928
10,inverse_clarity,"(0,0.1]",72,0.02012888274842841,120.15277777777777,1294.7916666666667,0.47051732803857527,0.47808489629200523,0.4156902096640896,0.375,0.23811504320679575,0.21428571428571427
10,inverse_clarity,"(0.1,0.3]",14,0.22037453469824925,157.21428571428572,2450.214285714286,0.4640572528753961,0.44124423606055124,0.43799355732543127,0.4314263314008713,0.2370350415723915,0.25093196644920784
10,inverse_clarity,"(0.3,0.5]",13,0.40978210347447236,228.23076923076923,5333.2307692307695,0.5181121056551462,0.45833333475249155,0.39307119525395906,0.44999998807907104,0.19776126642373593,0.2159090909090909
10,inverse_clarity,"(0.5,1.0]",5,0.6647404433663195,12.2,1250.0,0.8,1.0,0.0,0.0,0.0,0.0
