threshold,side,metric,mapping_type,n,mean,median,p25,p75,min,max
10,head,hits_r,M-1,63,0.24389687945745261,0.15372670761176518,0.07142857289207832,0.29115646864686695,0.0111478114766734,0.9785714234624591
10,head,hits_r,M-N,90,0.576393373545614,0.6201814242771693,0.3092798782246453,0.8847452018942151,0.0,1.0
10,head,alpha_r,1-1,7,0.3015109896659851,0.0,0.0,0.5552884638309479,0.0,1.0
10,head,alpha_r,1-N,22,0.22613837815482507,0.13651315867900848,0.0,0.45202021300792694,0.0,0.6643356680870056
10,head,alpha_r,M-1,63,0.7523072619168532,0.8181818127632141,0.6666666865348816,1.0,0.0,1.0
10,head,alpha_r,M-N,87,0.43548650971089287,0.42084941267967224,0.19375000149011612,0.7035329043865204,0.0,1.0
10,head,delta_r,1-1,7,0.13324175824175824,0.0,0.0,0.21634615384615385,0.0,0.5
10,head,delta_r,1-N,22,0.133915274851272,0.08388157894736842,0.0,0.2501470588235294,0.0,0.38461538461538464
10,head,delta_r,M-1,63,0.48926718698231764,0.5,0.3390804597701149,0.625,0.0,1.0
10,head,delta_r,M-N,87,0.24739028030781807,0.23076923076923078,0.1150171484566389,0.3578167115902965,0.0,1.0
10,tail,hits_r,1-1,7,0.701562407065411,0.8333333219800677,0.5253246745892933,1.0,0.026954178299222673,1.0
10,tail,hits_r,1-N,22,0.17405013662654084,0.13814757019281387,0.059723293342228444,0.2509276505027499,0.015197568173919405,0.5630252318722861
10,tail,hits_r,M-1,63,0.8179852214056889,0.91930205481393,0.7090659396989005,1.0,0.2734693991286414,1.0
10,tail,hits_r,M-N,90,0.6064925326950967,0.6614596715995243,0.28167755422847607,0.9215899791036333,0.0,1.0
10,tail,alpha_r,1-1,7,0.2789916012968336,0.0,0.0,0.47647060453891754,0.0,1.0
10,tail,alpha_r,1-N,22,0.7146851901303638,0.8035714328289032,0.6000000238418579,0.9838709682226181,0.0,1.0
10,tail,alpha_r,M-1,63,0.18093203643839512,0.041928719729185104,0.0,0.3444899767637253,0.0,0.7333333492279053
10,tail,alpha_r,M-N,89,0.3876735581964087,0.3552338480949402,0.0731707289814949,0.6988636255264282,0.0,1.0
10,tail,delta_r,1-1,7,0.22184873949579828,0.0,0.0,0.4764705882352941,0.0,0.6
10,tail,delta_r,1-N,22,0.4595954835324336,0.40454545454545454,0.38125,0.5535714285714286,0.0,1.0
10,tail,delta_r,M-1,63,0.11166532325930872,0.02531645569620253,0.0,0.2168803418803419,0.0,0.4666666666666667
10,tail,delta_r,M-N,89,0.22003670285294838,0.2,0.05128205128205128,0.35294117647058826,0.0,0.875
