model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
RotatE,FB15k237,without,97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,M-N,head,16,16,15,0.9017857142857143,0.13333334028720856,0.13333333333333333
RotatE,FB15k237,without,98,/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,M-N,head,27,27,27,0.9682539871760777,0.03703703731298447,0.037037037037037035
RotatE,FB15k237,without,99,/user/alexander/philosophy/philosopher/interests,M-N,head,9,9,3,0.25396825798920225,0.3333333432674408,0.3333333333333333
RotatE,FB15k237,without,100,/people/person/languages,M-1,head,98,98,18,0.1224489797438894,0.6111111044883728,0.2777777777777778
RotatE,FB15k237,without,101,/education/educational_institution/students_graduates./education/education/major_field_of_study,M-N,head,321,321,107,0.21495327353477478,0.6261682510375977,0.29906542056074764
RotatE,FB15k237,without,102,/film/director/film,1-N,head,19,19,9,0.4060150384902954,0.3333333432674408,0.2222222222222222
RotatE,FB15k237,without,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,M-N,head,121,121,81,0.548996457031795,0.3333333432674408,0.18518518518518517
RotatE,FB15k237,without,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,M-N,head,8,8,7,0.7321428571428571,0.2857142984867096,0.2857142857142857
RotatE,FB15k237,without,105,/film/film/costume_design_by,M-1,head,13,13,3,0.1098901139838355,1.0,0.6666666666666666
RotatE,FB15k237,without,106,/film/film/featured_film_locations,M-1,head,100,100,20,0.07142857302512441,0.949999988079071,0.6
RotatE,FB15k237,without,107,/tv/tv_program/genre,M-N,head,94,94,63,0.5607902663094657,0.3492063581943512,0.19047619047619047
RotatE,FB15k237,without,108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,M-1,head,3,3,0,0.0,,
RotatE,FB15k237,without,109,/film/film/written_by,M-1,head,26,26,5,0.15384615638426372,0.800000011920929,0.4
RotatE,FB15k237,without,110,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,M-1,head,22,22,7,0.17532468054975783,0.7142857313156128,0.42857142857142855
RotatE,FB15k237,without,111,/location/hud_county_place/county,M-1,head,7,7,2,0.2857142984867096,0.0,0.0
RotatE,FB15k237,without,112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,M-N,head,63,63,62,0.965986396585192,0.032258063554763794,0.016129032258064516
RotatE,FB15k237,without,113,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,M-1,head,20,20,8,0.3357142891202654,0.25,0.125
RotatE,FB15k237,without,114,/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,M-N,head,3,3,3,1.0,0.0,0.0
RotatE,FB15k237,without,115,/film/film/film_format,M-1,head,39,39,8,0.11721612087317876,1.0,0.625
RotatE,FB15k237,without,116,/film/film/music,M-1,head,92,92,22,0.14440993538924626,0.6363636255264282,0.4090909090909091
RotatE,FB15k237,without,117,/sports/sports_team/roster./american_football/football_roster_position/position,M-N,head,3,3,1,0.3333333432674408,0.0,0.0
RotatE,FB15k237,without,118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,M-1,head,50,50,10,0.09999999936137881,0.699999988079071,0.4
RotatE,FB15k237,without,119,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,M-N,head,1,1,1,1.0,0.0,0.0
RotatE,FB15k237,without,120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,M-1,head,84,84,29,0.2108843613948141,0.7586206793785095,0.4827586206896552
RotatE,FB15k237,without,121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,M-N,head,29,29,22,0.5763546781880515,0.5454545617103577,0.36363636363636365
RotatE,FB15k237,without,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,M-N,head,31,31,18,0.4838709533214569,0.3333333432674408,0.2777777777777778
RotatE,FB15k237,without,123,/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,M-N,head,1,1,0,0.0,,
RotatE,FB15k237,without,124,/education/educational_institution/school_type,M-1,head,80,80,23,0.16607142984867096,0.8695651888847351,0.4782608695652174
RotatE,FB15k237,without,125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,1-N,head,17,17,16,0.9075630307197571,0.0625,0.0625
RotatE,FB15k237,without,126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1-N,head,27,27,26,0.9576719743864877,0.03846153989434242,0.038461538461538464
RotatE,FB15k237,without,127,/base/biblioness/bibs_location/state,M-1,head,7,7,5,0.3469387867621013,0.800000011920929,0.4
RotatE,FB15k237,without,128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,M-1,head,1,1,0,0.0,,
RotatE,FB15k237,without,129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,M-1,head,1,1,0,0.0,,
RotatE,FB15k237,without,130,/sports/sports_position/players./sports/sports_team_roster/team,M-N,head,22,22,22,1.0,0.0,0.0
RotatE,FB15k237,without,131,/military/military_conflict/combatants./military/military_combatant_group/combatants,M-N,head,34,34,24,0.6512605037008014,0.2083333283662796,0.125
RotatE,FB15k237,without,132,/sports/sports_league/teams./sports/sports_league_participation/team,1-N,head,16,16,16,1.0,0.0,0.0
RotatE,FB15k237,without,133,/base/biblioness/bibs_location/country,M-1,head,14,14,2,0.06122449253286634,1.0,1.0
RotatE,FB15k237,without,134,/music/group_member/membership./music/group_membership/role,M-N,head,29,29,8,0.18719212072236197,0.625,0.625
RotatE,FB15k237,without,135,/location/administrative_division/country,M-1,head,3,3,1,0.3333333432674408,0.0,0.0
RotatE,FB15k237,without,136,/film/film/executive_produced_by,M-1,head,73,73,25,0.2583170235157013,0.47999998927116394,0.28
RotatE,FB15k237,without,137,/food/food/nutrients./food/nutrition_fact/nutrient,M-N,head,105,105,105,0.9986394558634076,0.009523809887468815,0.009523809523809525
RotatE,FB15k237,without,138,/music/group_member/membership./music/group_membership/group,M-1,head,22,22,16,0.5974025896617344,0.375,0.3125
RotatE,FB15k237,without,139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,M-1,head,3,3,1,0.3333333432674408,0.0,0.0
RotatE,FB15k237,without,140,/education/field_of_study/students_majoring./education/education/student,1-N,head,34,34,27,0.5546218582562038,0.5925925970077515,0.3333333333333333
RotatE,FB15k237,without,141,/award/award_winning_work/awards_won./award/award_honor/honored_for,M-N,head,10,10,9,0.8999999761581421,0.0,0.0
RotatE,FB15k237,without,142,/sports/sports_team/roster./basketball/basketball_roster_position/position,M-N,head,2,2,0,0.0,,
RotatE,FB15k237,without,143,/organization/organization/headquarters./location/mailing_address/state_province_region,M-1,head,39,39,12,0.16849817229168756,0.75,0.5
RotatE,FB15k237,without,144,/base/aareas/schema/administrative_area/capital,1-1,head,0,0,0,,,
RotatE,FB15k237,without,145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,M-N,head,4,4,1,0.25,0.0,0.0
RotatE,FB15k237,without,146,/education/educational_institution/campuses,1-1,head,13,13,13,1.0,0.0,0.0
RotatE,FB15k237,without,147,/film/film/distributors./film/film_film_distributor_relationship/region,M-1,head,10,10,3,0.10000000149011612,1.0,0.3333333333333333
RotatE,FB15k237,without,148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,M-N,head,60,60,60,0.9976190498897007,0.01666666753590107,0.016666666666666666
RotatE,FB15k237,without,149,/medicine/disease/notable_people_with_this_condition,1-N,head,15,15,13,0.7142857313156128,0.3076923191547394,0.23076923076923078
RotatE,FB15k237,without,150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,M-N,head,38,38,27,0.612781958920615,0.29629629850387573,0.1111111111111111
RotatE,FB15k237,without,151,/people/ethnicity/geographic_distribution,M-N,head,17,17,14,0.7815126180648804,0.0714285746216774,0.07142857142857142
RotatE,FB15k237,without,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,M-N,head,17,17,12,0.5630252361297607,0.4166666567325592,0.16666666666666666
RotatE,FB15k237,without,153,/film/film/personal_appearances./film/personal_film_appearance/person,1-N,head,11,11,5,0.3766233878476279,0.20000000298023224,0.2
RotatE,FB15k237,without,154,/location/location/time_zones,M-1,head,137,137,67,0.36496350169181824,0.5223880410194397,0.2835820895522388
RotatE,FB15k237,without,155,/film/film/story_by,M-1,head,31,31,12,0.34562210951532635,0.25,0.16666666666666666
RotatE,FB15k237,without,156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,M-N,head,21,21,21,1.0,0.0,0.0
RotatE,FB15k237,without,157,/olympics/olympic_games/participating_countries,M-N,head,23,23,23,0.9316770264080593,0.17391304671764374,0.13043478260869565
RotatE,FB15k237,without,158,/tv/tv_network/programs./tv/tv_network_duration/program,1-N,head,26,26,22,0.752747254712241,0.3636363744735718,0.18181818181818182
RotatE,FB15k237,without,159,/people/person/employment_history./business/employment_tenure/company,M-1,head,24,24,14,0.375,0.7142857313156128,0.35714285714285715
RotatE,FB15k237,without,160,/music/artist/origin,M-1,head,34,34,5,0.07142857222684793,1.0,0.6
RotatE,FB15k237,without,161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,1-N,head,53,53,53,1.0,0.0,0.0
RotatE,FB15k237,without,162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,M-1,head,9,9,2,0.1111111119389534,1.0,1.0
RotatE,FB15k237,without,163,/time/event/locations,M-N,head,34,34,20,0.38655462861061096,0.6000000238418579,0.45
RotatE,FB15k237,without,164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,1-1,head,0,0,0,,,
RotatE,FB15k237,without,165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,1-N,head,11,11,10,0.9090909361839294,0.0,0.0
RotatE,FB15k237,without,166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,M-1,head,5,5,0,0.0,,
RotatE,FB15k237,without,167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,M-1,head,22,22,18,0.8181818127632141,0.0,0.0
RotatE,FB15k237,without,168,/user/ktrueman/default_domain/international_organization/member_states,1-N,head,24,24,24,1.0,0.0,0.0
RotatE,FB15k237,without,169,/american_football/football_team/current_roster./sports/sports_team_roster/position,M-N,head,0,0,0,,,
RotatE,FB15k237,without,170,/soccer/football_player/current_team./sports/sports_team_roster/team,M-N,head,9,9,5,0.42857143708637785,0.6000000238418579,0.2
RotatE,FB15k237,without,171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,M-N,head,16,16,16,1.0,0.0,0.0
RotatE,FB15k237,without,172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,M-1,head,48,48,26,0.47916666099003385,0.38461539149284363,0.2692307692307692
RotatE,FB15k237,without,173,/film/film_set_designer/film_sets_designed,1-N,head,8,8,7,0.6964285714285714,0.7142857313156128,0.5714285714285714
RotatE,FB15k237,without,174,/user/jg/default_domain/olympic_games/sports,M-N,head,11,11,11,0.974025981766837,0.09090909361839294,0.09090909090909091
RotatE,FB15k237,without,175,/people/person/sibling_s./people/sibling_relationship/sibling,1-1,head,7,7,5,0.5306122643607003,0.6000000238418579,0.6
RotatE,FB15k237,without,176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,M-N,head,41,41,39,0.8954703637531826,0.1538461595773697,0.10256410256410256
RotatE,FB15k237,without,177,/music/artist/contribution./music/recording_contribution/performance_role,M-N,head,14,14,5,0.14285714817898615,1.0,0.6
RotatE,FB15k237,without,178,/sports/sports_position/players./sports/sports_team_roster/position,M-N,head,0,0,0,,,
RotatE,FB15k237,without,179,/government/politician/government_positions_held./government/government_position_held/basic_title,M-N,head,16,16,13,0.5267857142857143,0.6153846383094788,0.38461538461538464
RotatE,FB15k237,without,180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,M-N,head,0,0,0,,,
RotatE,FB15k237,without,181,/people/profession/specialization_of,M-1,head,13,13,5,0.27472528176648275,0.6000000238418579,0.6
RotatE,FB15k237,without,182,/award/award_category/category_of,M-1,head,20,20,20,1.0,0.0,0.0
RotatE,FB15k237,without,183,/film/film/cinematography,M-1,head,17,17,4,0.17647059155361994,0.5,0.5
RotatE,FB15k237,without,184,/film/film/film_production_design_by,M-1,head,10,10,3,0.30000001192092896,0.0,0.0
RotatE,FB15k237,without,185,/tv/tv_program/country_of_origin,M-1,head,32,32,23,0.6071428571428571,0.47826087474823,0.30434782608695654
RotatE,FB15k237,without,186,/film/film/edited_by,M-1,head,13,13,3,0.17582417918103083,0.6666666865348816,0.3333333333333333
RotatE,FB15k237,without,187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,M-1,head,11,11,5,0.2207792273589543,1.0,1.0
RotatE,FB15k237,without,188,/education/field_of_study/students_majoring./education/education/major_field_of_study,M-N,head,11,11,8,0.5324675355638776,0.625,0.375
RotatE,FB15k237,without,189,/education/educational_degree/people_with_this_degree./education/education/student,1-N,head,27,27,27,0.9682539701461792,0.07407407462596893,0.07407407407407407
RotatE,FB15k237,without,190,/location/us_county/county_seat,1-1,head,2,2,2,1.0,0.0,0.0
RotatE,FB15k237,without,191,/film/film/film_festivals,M-1,head,18,18,4,0.1428571455180645,0.75,0.5
RotatE,FB15k237,without,192,/people/person/spouse_s./people/marriage/spouse,1-1,head,4,4,1,0.03571428571428571,1.0,1.0
RotatE,FB15k237,without,193,/film/film/runtime./film/film_cut/film_release_region,M-1,head,9,9,0,0.0,,
RotatE,FB15k237,without,194,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,1-1,head,0,0,0,,,
RotatE,FB15k237,without,195,/base/aareas/schema/administrative_area/administrative_area_type,M-1,head,20,20,20,0.992857141154153,0.05000000074505806,0.05
RotatE,FB15k237,without,196,/influence/influence_node/peers./influence/peer_relationship/peers,1-1,head,2,2,1,0.14285714285714285,1.0,1.0
RotatE,FB15k237,without,197,/government/governmental_body/members./government/government_position_held/legislative_sessions,M-N,head,12,12,12,1.0,0.0,0.0
RotatE,FB15k237,without,198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,M-N,head,21,21,17,0.7074830106326512,0.1764705926179886,0.11764705882352941
RotatE,FB15k237,without,199,/organization/organization/place_founded,M-1,head,16,16,7,0.33035714285714285,0.4285714328289032,0.42857142857142855
RotatE,FB15k237,without,200,/base/eating/practicer_of_diet/diet,M-1,head,11,11,1,0.05194805349622454,1.0,1.0
RotatE,FB15k237,without,201,/tv/tv_program/program_creator,1-1,head,2,2,0,0.0,,
RotatE,FB15k237,without,202,/people/deceased_person/place_of_burial,M-1,head,9,9,0,0.0,,
RotatE,FB15k237,without,203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,M-1,head,20,20,8,0.27857143112591337,0.375,0.375
RotatE,FB15k237,without,204,/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position,M-N,head,4,4,3,0.75,0.0,0.0
RotatE,FB15k237,without,205,/location/administrative_division/first_level_division_of,M-1,head,0,0,0,,,
RotatE,FB15k237,without,206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,M-1,head,0,0,0,,,
RotatE,FB15k237,without,207,/organization/organization/child./organization/organization_relationship/child,1-N,head,20,20,14,0.4928571454116276,0.4285714328289032,0.21428571428571427
