threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,M-N,inverse_clarity,"(0.5,1.0]",3,0.5918865929658516,11.666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
10,1-1,directional_inverse_strength,"(0,0.1]",2,0.021714090134207425,50.5,0.5215633426393781,0.5215633426393781,0.4722222089767456,0.4722222089767456,0.19444444444444445,0.19444444444444445
10,1-1,directional_inverse_strength,"(0.1,0.3]",2,0.1255050505050505,14.0,0.7607142754963466,0.7607142754963466,0.13636364042758942,0.13636364042758942,0.10606060606060606,0.10606060606060606
10,1-1,directional_inverse_strength,"(0.3,0.5]",1,0.4014084507042254,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
10,1-1,directional_inverse_strength,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-1,mutual_inverse_strength,"(0,0.1]",4,0.033668580973184134,32.25,0.6411388090678624,0.7607142754963466,0.3042929247021675,0.13636364042758942,0.15025252525252525,0.10606060606060606
10,1-1,mutual_inverse_strength,"(0.1,0.3]",1,0.15159574468085107,11.0,0.29220779878752573,0.29220779878752573,0.7777777910232544,0.7777777910232544,0.5555555555555556,0.5555555555555556
10,1-1,mutual_inverse_strength,"(0.5,1.0]",2,0.8026440037771482,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-1,inverse_clarity,"(0,0.1]",5,0.01762851141419346,28.0,0.571352607011795,0.699999988079071,0.3989898979663849,0.27272728085517883,0.2313131313131313,0.21212121212121213
10,1-1,inverse_clarity,"(0.5,1.0]",2,0.7740212189670216,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-N,directional_inverse_strength,zero,11,0.0,54.09090909090909,0.5426728191313805,0.5423280426434108,0.207931672307578,0.15625,0.11740487269488002,0.07692307692307693
10,1-N,directional_inverse_strength,"(0,0.1]",5,0.02230812808610686,90.6,0.31636811579976765,0.2857142857142857,0.5506041467189788,0.5555555820465088,0.2889142036124795,0.3103448275862069
10,1-N,directional_inverse_strength,"(0.1,0.3]",4,0.15664857973109125,26.75,0.5041339950902122,0.46416626232010977,0.28587066382169724,0.28156565874814987,0.1878787057300395,0.19065656565656564
10,1-N,directional_inverse_strength,"(0.3,0.5]",2,0.3483788923788814,55.0,0.273837071444307,0.273837071444307,0.5477941185235977,0.5477941185235977,0.32924836601307195,0.32924836601307195
10,1-N,mutual_inverse_strength,zero,11,0.0,54.09090909090909,0.5426728191313805,0.5423280426434108,0.207931672307578,0.15625,0.11740487269488002,0.07692307692307693
10,1-N,mutual_inverse_strength,"(0,0.1]",8,0.020430659117046543,64.25,0.38457967926348957,0.33673469509397236,0.47055348940193653,0.4955665171146393,0.26271827729263075,0.25935960591133006
10,1-N,mutual_inverse_strength,"(0.1,0.3]",2,0.1225524453429584,68.5,0.38057129404374535,0.38057129404374535,0.37853773683309555,0.37853773683309555,0.1999475890985325,0.1999475890985325
10,1-N,mutual_inverse_strength,"(0.3,0.5]",1,0.36208991494532194,19.0,0.3082706800528935,0.3082706800528935,0.47058823704719543,0.47058823704719543,0.35294117647058826,0.35294117647058826
10,1-N,inverse_clarity,zero,11,0.0,54.09090909090909,0.5426728191313805,0.5423280426434108,0.207931672307578,0.15625,0.11740487269488002,0.07692307692307693
10,1-N,inverse_clarity,"(0,0.1]",11,0.03261657798964967,60.90909090909091,0.376913700204391,0.329313542161669,0.4538265114480799,0.47058823704719543,0.2595075066371545,0.27586206896551724
10,M-1,directional_inverse_strength,zero,28,0.0,89.07142857142857,0.6070063596173209,0.5509821474552155,0.2039932551394616,0.18951048702001572,0.11757517804960017,0.10896960711638251
10,M-1,directional_inverse_strength,"(0,0.1]",18,0.017742739551114366,73.33333333333333,0.49187898127332563,0.5282677922930037,0.37152523630195194,0.31860901415348053,0.2146493806285598,0.19617224880382775
10,M-1,directional_inverse_strength,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4019841732723372,0.4106116997344153,0.44119369983673096,0.4343354403972626,0.2512355129048167,0.23299050632911392
10,M-1,directional_inverse_strength,"(0.3,0.5]",10,0.3978719176914935,40.9,0.41403804123401644,0.4495798349380493,0.4822600334882736,0.44488105177879333,0.3078956221205657,0.28106060606060607
