threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,1-N,mutual_inverse_strength,"(0,0.1]",10,0.018184318267606022,52.9,0.4296953382236617,0.37142857057707646,0.3841649770736694,0.33879782259464264,0.2527357559605478,0.19444444444444442
5,1-N,mutual_inverse_strength,"(0.1,0.3]",2,0.1225524453429584,68.5,0.3993925367082869,0.3993925367082869,0.28316400945186615,0.28316400945186615,0.16255442670537013,0.16255442670537013
5,1-N,mutual_inverse_strength,"(0.3,0.5]",1,0.36208991494532194,19.0,0.35714285714285715,0.35714285714285715,0.2666666805744171,0.2666666805744171,0.13333333333333333,0.13333333333333333
5,1-N,inverse_clarity,zero,13,0.0,46.76923076923077,0.5628926108826648,0.5336927175521851,0.16323542766846144,0.1463414579629898,0.10932173518051444,0.07142857142857142
5,1-N,inverse_clarity,"(0,0.1]",13,0.027878470771104478,52.69230769230769,0.41945240867661904,0.35714285714285715,0.3595880361703726,0.3333333432674408,0.22967690356535014,0.16666666666666666
5,M-1,directional_inverse_strength,zero,31,0.0,81.19354838709677,0.6101766605668353,0.5586080636296954,0.14694969241897907,0.1505376398563385,0.09288531309913944,0.08333333333333333
5,M-1,directional_inverse_strength,"(0,0.1]",19,0.018497624916704463,69.94736842105263,0.5071796345195376,0.5352805256843567,0.2793680068693663,0.20000000298023224,0.159747423340175,0.10784313725490197
5,M-1,directional_inverse_strength,"(0.1,0.3]",4,0.20287019528467792,35.25,0.4484500523124422,0.44572627757276806,0.3137419894337654,0.2868589758872986,0.234375,0.21875
5,M-1,directional_inverse_strength,"(0.3,0.5]",12,0.4018336091463554,35.333333333333336,0.4315139037512598,0.4610348024538585,0.37770819415648776,0.2928571552038193,0.25148024136484814,0.2028101802757158
5,M-1,directional_inverse_strength,"(0.5,1.0]",6,0.6730715381777133,12.666666666666666,0.5714413225650787,0.5086096908364978,0.24468954652547836,0.2549019679427147,0.1469226579520697,0.14583333333333331
5,M-1,mutual_inverse_strength,zero,31,0.0,81.19354838709677,0.6101766605668353,0.5586080636296954,0.14694969241897907,0.1505376398563385,0.09288531309913944,0.08333333333333333
5,M-1,mutual_inverse_strength,"(0,0.1]",30,0.02305914877786687,54.266666666666666,0.4865617044979618,0.5141941479274205,0.3032794679204623,0.27576012909412384,0.19287181307608428,0.17708333333333331
5,M-1,mutual_inverse_strength,"(0.1,0.3]",7,0.17193888455614095,29.857142857142858,0.5410328787200305,0.5073260239192418,0.2778264284133911,0.2857142984867096,0.17690642237062634,0.16666666666666666
5,M-1,mutual_inverse_strength,"(0.3,0.5]",3,0.39956835345442815,42.0,0.4115264692476817,0.48660714285714285,0.34014222025871277,0.22857142984867096,0.19916684622566974,0.11764705882352941
5,M-1,mutual_inverse_strength,"(0.5,1.0]",1,0.5102880658436214,7.0,0.4183673518044608,0.4183673518044608,0.5,0.5,0.25,0.25
5,M-1,inverse_clarity,zero,31,0.0,81.19354838709677,0.6101766605668353,0.5586080636296954,0.14694969241897907,0.1505376398563385,0.09288531309913944,0.08333333333333333
5,M-1,inverse_clarity,"(0,0.1]",34,0.02219769229265886,50.85294117647059,0.5008219332442064,0.5187459694487708,0.29501181183492436,0.27576012909412384,0.18701537686279882,0.16666666666666666
5,M-1,inverse_clarity,"(0.1,0.3]",4,0.16957642429123593,33.5,0.3884844391473702,0.4244047658784049,0.40703801810741425,0.3650793731212616,0.26264798003928436,0.2536231884057971
5,M-1,inverse_clarity,"(0.3,0.5]",3,0.4089627395454511,35.666666666666664,0.4850481862113589,0.48660714285714285,0.30168067415555316,0.22857142984867096,0.1542950513538749,0.11764705882352941
5,M-N,directional_inverse_strength,zero,41,0.0,80.7560975609756,0.7192149691880787,0.7170542478561401,0.20444557042338135,0.1639784872531891,0.11561972627415787,0.10098522167487685
5,M-N,directional_inverse_strength,"(0,0.1]",21,0.02203433994532064,280.57142857142856,0.5253650943438212,0.5648011650357928,0.33631258457899094,0.25,0.19712531972712397,0.12742382271468145
5,M-N,directional_inverse_strength,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4396788140202498,0.43697479367256165,0.401150719685988,0.3181818127632141,0.2183567451243338,0.18181818181818182
5,M-N,directional_inverse_strength,"(0.3,0.5]",13,0.3851914845509403,146.23076923076923,0.60421051297869,0.4884792608874185,0.24501291261269495,0.2469879537820816,0.139701317681165,0.11801242236024845
