relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
126,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,head,1-N,154,5.043425116919247,27,27,26,0.9365079317774091,0.03846153989434242,0.038461538461538464
127,/base/biblioness/bibs_location/state,head,M-1,300,5.707110264748875,7,7,3,0.20408164177622115,0.6666666865348816,0.6666666666666666
128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,head,M-1,360,5.8888779583328805,1,1,0,0.0,,
129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,head,M-1,215,5.375278407684165,1,1,0,0.0,,
130,/sports/sports_position/players./sports/sports_team_roster/team,head,M-N,3500,8.160803920954665,22,22,22,1.0,0.0,0.0
131,/military/military_conflict/combatants./military/military_combatant_group/combatants,head,M-N,424,6.052089168924417,34,34,29,0.7142857142857143,0.4482758641242981,0.3103448275862069
132,/sports/sports_league/teams./sports/sports_league_participation/team,head,1-N,161,5.087596335232384,16,16,16,1.0,0.0,0.0
133,/base/biblioness/bibs_location/country,head,M-1,610,6.415096959171596,14,14,1,0.020408164177622114,1.0,1.0
134,/music/group_member/membership./music/group_membership/role,head,M-N,750,6.621405651764134,29,29,10,0.18226601289851324,0.800000011920929,0.5
135,/location/administrative_division/country,head,M-1,386,5.958424693029782,3,3,1,0.3333333432674408,0.0,0.0
136,/film/film/executive_produced_by,head,M-1,662,6.4967749901858625,73,73,27,0.20743639767169952,0.8148148059844971,0.4074074074074074
137,/food/food/nutrients./food/nutrition_fact/nutrient,head,M-N,966,6.874198495453294,105,105,105,0.9931972793170384,0.02857142873108387,0.01904761904761905
138,/music/group_member/membership./music/group_membership/group,head,M-1,218,5.389071729816501,22,22,16,0.5974025981766837,0.375,0.1875
139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,head,M-1,190,5.25227342804663,3,3,1,0.3333333432674408,0.0,0.0
140,/education/field_of_study/students_majoring./education/education/student,head,1-N,259,5.560681631015528,34,34,26,0.49159663915634155,0.5769230723381042,0.34615384615384615
141,/award/award_winning_work/awards_won./award/award_honor/honored_for,head,M-N,475,6.16541785423142,10,10,9,0.8999999761581421,0.0,0.0
142,/sports/sports_team/roster./basketball/basketball_roster_position/position,head,M-N,178,5.187385805840755,2,2,0,0.0,,
143,/organization/organization/headquarters./location/mailing_address/state_province_region,head,M-1,721,6.582025138892826,39,39,7,0.095238097012043,0.7142857313156128,0.5714285714285714
144,/base/aareas/schema/administrative_area/capital,head,1-1,137,4.927253685157205,0,0,0,,,
145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,head,M-N,416,6.0330862217988015,4,4,1,0.25,0.0,0.0
146,/education/educational_institution/campuses,head,1-1,533,6.280395838960195,13,13,13,1.0,0.0,0.0
147,/film/film/distributors./film/film_film_distributor_relationship/region,head,M-1,157,5.062595033026967,10,10,4,0.14285714711461747,1.0,0.75
148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,head,M-N,535,6.284134161070802,60,60,60,0.9952380997794015,0.01666666753590107,0.016666666666666666
149,/medicine/disease/notable_people_with_this_condition,head,1-N,121,4.804021044733257,15,15,13,0.7809523940086365,0.3076923191547394,0.15384615384615385
150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,head,M-N,345,5.846438775057724,38,38,30,0.6090225577354431,0.5,0.36666666666666664
151,/people/ethnicity/geographic_distribution,head,M-N,122,4.812184355372417,17,17,15,0.7899159789085388,0.13333334028720856,0.13333333333333333
152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,head,M-N,747,6.617402977974478,17,17,15,0.831932783126831,0.20000000298023224,0.13333333333333333
153,/film/film/personal_appearances./film/personal_film_appearance/person,head,1-N,217,5.384495062789089,11,11,6,0.41558442796979633,0.3333333432674408,0.3333333333333333
154,/location/location/time_zones,head,M-1,1151,7.049254841255837,137,137,58,0.23774765644754683,0.6896551847457886,0.3448275862068966
155,/film/film/story_by,head,M-1,394,5.978885764901122,31,31,13,0.35023040430886404,0.38461539149284363,0.23076923076923078
156,/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,head,M-N,192,5.262690188904886,21,21,21,0.897959189755576,0.2857142984867096,0.2857142857142857
157,/olympics/olympic_games/participating_countries,head,M-N,490,6.19644412779452,23,23,23,1.0,0.0,0.0
158,/tv/tv_network/programs./tv/tv_network_duration/program,head,1-N,305,5.723585101952381,26,26,19,0.631868132523128,0.21052631735801697,0.10526315789473684
159,/people/person/employment_history./business/employment_tenure/company,head,M-1,316,5.75890177387728,24,24,13,0.27976190405232565,0.7692307829856873,0.5384615384615384
160,/music/artist/origin,head,M-1,552,6.315358001522335,34,34,6,0.07142857222684793,1.0,0.6666666666666666
161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,head,1-N,417,6.035481432524756,53,53,53,1.0,0.0,0.0
162,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,head,M-1,271,5.605802066295998,9,9,4,0.17460317696843827,1.0,0.75
163,/time/event/locations,head,M-N,363,5.8971538676367405,34,34,22,0.40756303497723173,0.9090909361839294,0.5454545454545454
164,/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,head,1-1,236,5.4680601411351315,0,0,0,,,
165,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician,head,1-N,107,4.68213122712422,11,11,10,0.9090909361839294,0.0,0.0
