relation_id,relation_name,mapping_type,train_frequency,log_train_frequency,test_support,head_support,tail_support,eligible_support,hits_r,alpha_r,delta_r
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,M-N,2130,7.664346632098617,258,258,258,438,0.6973975556237357,0.38127854466438293,0.1872146118721461
30,/award/award_winning_work/awards_won./award/award_honor/award,M-N,3310,8.105005537547246,118,118,118,123,0.3765133193561009,0.4796747863292694,0.24390243902439024
31,/film/film/genre,M-N,7268,8.891374009484636,722,722,722,818,0.46299960783549715,0.3484107553958893,0.1552567237163814
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,M-N,2337,7.757051142032013,160,160,160,176,0.4227678562913622,0.46022728085517883,0.2159090909090909
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,M-1,373,5.924255797414532,46,46,46,55,0.5232919199126107,0.16363635659217834,0.12727272727272726
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,M-1,1210,7.099201743553092,151,151,151,207,0.5704825009618487,0.256038635969162,0.11594202898550725
35,/government/legislative_session/members./government/government_position_held/district_represented,M-N,1070,6.976348070447749,117,117,117,233,0.9597069365637643,0.09442060440778732,0.04721030042918455
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,M-N,622,6.434546518787453,1,1,1,1,0.5,0.0,0.0
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,M-N,760,6.634633357861686,91,91,91,144,0.6318681495530265,0.3611111044883728,0.16666666666666666
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,M-N,6277,8.744806737401898,132,132,132,126,0.3582251114504678,0.460317462682724,0.2619047619047619
39,/people/deceased_person/place_of_death,M-1,695,6.54534966033442,78,78,78,60,0.3021978097302573,0.4000000059604645,0.2
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,M-N,676,6.517671272912275,16,16,16,21,0.46875,0.4761904776096344,0.47619047619047616
41,/music/artist/track_contributions./music/track_contribution/role,M-N,1772,7.480428306074208,152,152,152,161,0.3735902224268232,0.5776397585868835,0.2670807453416149
42,/music/instrument/instrumentalists,M-N,1938,7.569927655242652,153,153,153,164,0.4267040193080902,0.396341472864151,0.16463414634146342
43,/people/person/gender,M-1,3717,8.220941168281389,436,436,436,508,0.5296526891844613,0.13188976049423218,0.0610236220472441
44,/business/job_title/people_with_this_title./business/employment_tenure/company,M-N,734,6.5998704992128365,85,85,85,115,0.540336149079459,0.313043475151062,0.17391304347826086
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,M-N,1511,7.321188556739479,32,32,32,14,0.10491071428571429,0.7142857313156128,0.5714285714285714
46,/business/business_operation/industry,M-1,330,5.802118375377063,41,41,41,58,0.5470383337565831,0.43103447556495667,0.1896551724137931
47,/award/award_category/winners./award/award_honor/award_winner,M-N,5673,8.643649615368796,217,217,217,250,0.42001316802842276,0.5120000243186951,0.224
