threshold,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,train_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,mutual_inverse_strength,"(0.5,1.0]",12,0.5884393144193355,42.416666666666664,3676.4166666666665,0.6716297162430628,0.6565172587122237,0.13448885083198547,0.07968835532665253,0.08498429537873081,0.048614907964279204
5,inverse_clarity,zero,85,0.0,75.71764705882353,678.964705882353,0.6555399312442093,0.6111111215182713,0.17717375778867042,0.1550387591123581,0.10636512989012335,0.0945945945945946
5,inverse_clarity,"(0,0.1]",82,0.021028567129080245,106.42682926829268,1158.0487804878048,0.49170241271265713,0.5178157772336687,0.33897748548628354,0.281650647521019,0.20625658501470395,0.16666666666666666
5,inverse_clarity,"(0.1,0.3]",15,0.2171705905470709,147.33333333333334,2304.9333333333334,0.4907730047901472,0.4827586156981332,0.3166856557130814,0.2857142984867096,0.18571030511132722,0.18181818181818182
5,inverse_clarity,"(0.3,0.5]",14,0.4113568249316429,212.42857142857142,4974.071428571428,0.5289152517002457,0.48419927273477825,0.27026316204241346,0.2478516325354576,0.14607008410161132,0.11782974059188893
5,inverse_clarity,"(0.5,1.0]",5,0.6647404433663195,12.2,1250.0,0.8,1.0,0.0,0.0,0.0,0.0
10,directional_inverse_strength,zero,78,0.0,81.82051282051282,719.3076923076923,0.6699895871045827,0.6317026742867061,0.17213379540958273,0.1527881994843483,0.1030902056494934,0.09141494435612083
10,directional_inverse_strength,"(0,0.1]",45,0.020628607592137325,172.4,1693.1555555555556,0.4965131879325896,0.5352805256843567,0.3314196880492899,0.25,0.18820799645159741,0.12742382271468145
10,directional_inverse_strength,"(0.1,0.3]",21,0.18483107093602436,150.76190476190476,1783.5238095238096,0.4884765518664503,0.49129402211734224,0.32029178241888684,0.28205129504203796,0.1929745413998466,0.16666666666666666
10,directional_inverse_strength,"(0.3,0.5]",26,0.3878605658284288,93.5,2252.5384615384614,0.5080138085471405,0.48227500915527344,0.29956178539074385,0.2741653770208359,0.17428138167958543,0.16269841269841268
10,directional_inverse_strength,"(0.5,1.0]",12,0.7146850762665128,43.75,2574.8333333333335,0.6192638749877611,0.5153061194079263,0.11820786694685619,0.0786290317773819,0.07377530930661862,0.06077188940092166
10,mutual_inverse_strength,zero,78,0.0,81.82051282051282,719.3076923076923,0.6699895871045827,0.6317026742867061,0.17213379540958273,0.1527881994843483,0.1030902056494934,0.09141494435612083
10,mutual_inverse_strength,"(0,0.1]",60,0.02190228248707096,130.85,1265.25,0.497065690585545,0.5233177308525359,0.3223768732820948,0.26013512909412384,0.1844809312346493,0.14835164835164835
10,mutual_inverse_strength,"(0.1,0.3]",19,0.19789167127592275,148.1578947368421,2043.421052631579,0.4552463867274442,0.4827586156981332,0.32609736135131434,0.2857142984867096,0.2059612755258626,0.15873015873015872
10,mutual_inverse_strength,"(0.3,0.5]",15,0.3848414684672381,181.33333333333334,2995.9333333333334,0.5286257313830512,0.48179140261241366,0.28917619287967683,0.2666666805744171,0.15529135562062207,0.13333333333333333
10,mutual_inverse_strength,"(0.5,1.0]",10,0.604954830048984,49.4,4343.1,0.6837617814540863,0.6565172587122237,0.09710090607404709,0.016129031777381897,0.06269544016876269,0.016129032258064516
10,inverse_clarity,zero,78,0.0,81.82051282051282,719.3076923076923,0.6699895871045827,0.6317026742867061,0.17213379540958273,0.1527881994843483,0.1030902056494934,0.09141494435612083
10,inverse_clarity,"(0,0.1]",72,0.02012888274842841,120.15277777777777,1294.7916666666667,0.49024093381705725,0.5200782184089934,0.32302207722225124,0.2684684693813324,0.1901547558931691,0.13983113612798104
10,inverse_clarity,"(0.1,0.3]",14,0.22037453469824925,157.21428571428572,2450.214285714286,0.49691665438669075,0.48561893829277586,0.30756002771002905,0.2841614931821823,0.17516580309546964,0.17786561264822134
10,inverse_clarity,"(0.3,0.5]",13,0.40978210347447236,228.23076923076923,5333.2307692307695,0.5374189363076136,0.48660714285714285,0.25259109758413756,0.2469879537820816,0.13807547518635063,0.11764705882352941
10,inverse_clarity,"(0.5,1.0]",5,0.6647404433663195,12.2,1250.0,0.8,1.0,0.0,0.0,0.0,0.0
