threshold,side,bucket,mapping_type,n,log_train_frequency_mean,train_frequency_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,tail,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7567385445748056,1.0,0.25,0.0,0.15,0.0
5,tail,mid_frequency,1-N,8,6.0826293001267935,475.0,53.375,0.07173095028182225,0.05946291623903173,0.9029761925339699,0.949999988079071,0.5523809523809524,0.5357142857142857
5,tail,mid_frequency,M-1,25,6.019238643839745,433.52,35.76,0.8067758756024497,0.8914285727909633,0.2095380435883999,0.1111111119389534,0.14231021151548592,0.1111111111111111
5,tail,mid_frequency,M-N,30,6.210590856089493,524.7333333333333,38.8,0.6105713817335309,0.6910489286695207,0.4448095644513766,0.3508860766887665,0.26844158510810584,0.18
5,tail,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.12464161623003228,0.09603032416531018,0.7629113793373108,0.8080808222293854,0.42003706419029,0.4267676767676768
5,tail,high_frequency,M-1,18,7.324219908718421,1792.2777777777778,175.05555555555554,0.7822443206631948,0.9331906565598079,0.21006715266654888,0.03735780157148838,0.12031400783007595,0.023825480290064267
5,tail,high_frequency,M-N,45,7.965714132731433,4029.8444444444444,286.73333333333335,0.5419013594587644,0.5338983110019139,0.408660139486363,0.417391300201416,0.21635410210947545,0.2354423292273236
10,head,low_frequency,1-1,3,4.922170615837942,140.33333333333334,13.0,0.5810966803914025,0.699999988079071,0.3958333333333333,0.1875,0.20833333333333334,0.125
10,head,low_frequency,1-N,12,5.051263268576311,164.33333333333334,18.916666666666668,0.8245897388883998,0.9346405225140708,0.15478098671883345,0.01923076994717121,0.10990918803418803,0.019230769230769232
10,head,low_frequency,M-1,27,5.116980834938561,175.0,18.14814814814815,0.3527259939207286,0.24489796374525344,0.6566138773880623,0.75,0.48147233201581024,0.5
10,head,low_frequency,M-N,19,5.1989084925151055,188.47368421052633,22.31578947368421,0.6782577005320026,0.7687074967793056,0.40680138374629776,0.380952388048172,0.2717920893836226,0.23076923076923078
10,head,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7648247980645725,1.0,0.23076923191547394,0.0,0.07692307692307693,0.0
10,head,mid_frequency,1-N,6,6.2559720604460205,546.8333333333334,61.0,0.7920822614715214,0.8097228876182012,0.19289985888948044,0.11613272409886122,0.09429539030090921,0.06350114416475972
10,head,mid_frequency,M-1,22,6.236361460647545,539.9545454545455,47.31818181818182,0.20140192870582851,0.12253401561507157,0.8172746659679846,0.8712121248245239,0.5260985016666835,0.5268065268065267
10,head,mid_frequency,M-N,28,6.294613008038368,567.5357142857143,42.642857142857146,0.6736225590623004,0.7001488081046513,0.3728228052412825,0.28822412341833115,0.2345531291681596,0.21415004748338082
10,head,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.4385575268949782,0.3456167919295175,0.49006833136081696,0.5122222155332565,0.265363362128068,0.2803496503496503
10,head,high_frequency,M-1,14,7.505894669884695,2075.0714285714284,206.28571428571428,0.10078993845940092,0.05364396276750735,0.8347671542848859,0.9166666865348816,0.44642234134229203,0.4295634920634921
10,head,high_frequency,M-N,43,8.024926494470321,4179.813953488372,297.5348837209302,0.46807152686634423,0.4756838934762137,0.4929765376728028,0.46585212647914886,0.24478542679457155,0.22521484618258814
10,tail,low_frequency,1-1,3,4.922170615837942,140.33333333333334,13.0,0.6279942237195515,0.699999988079071,0.3176470696926117,0.3529411852359772,0.3176470588235294,0.35294117647058826
10,tail,low_frequency,1-N,12,5.051263268576311,164.33333333333334,18.916666666666668,0.24203085293993354,0.19160997920802664,0.6206349271039168,0.6571428775787354,0.43710317460317455,0.4
10,tail,low_frequency,M-1,27,5.116980834938561,175.0,18.14814814814815,0.8577663541313201,1.0,0.13804714022963135,0.0,0.0861625514403292,0.0
10,tail,low_frequency,M-N,19,5.1989084925151055,188.47368421052633,22.31578947368421,0.6963446437752336,0.8571428656578064,0.3146112439663787,0.13793103396892548,0.21458448286941936,0.10344827586206896
10,tail,mid_frequency,1-1,4,6.120989461475297,462.25,31.75,0.7567385445748056,1.0,0.25,0.0,0.15,0.0
10,tail,mid_frequency,1-N,6,6.2559720604460205,546.8333333333334,61.0,0.07102771759742783,0.05346051497118814,0.8706349233786265,0.8833333253860474,0.530952380952381,0.5357142857142857
10,tail,mid_frequency,M-1,22,6.236361460647545,539.9545454545455,47.31818181818182,0.7785251463775512,0.8655749133655003,0.23749038420448249,0.1269841305911541,0.14966261605684775,0.11555555555555555
10,tail,mid_frequency,M-N,28,6.294613008038368,567.5357142857143,42.642857142857146,0.6773832298967303,0.756395982844489,0.3769536990605827,0.3218390792608261,0.21417848404439915,0.1449148843299869
10,tail,high_frequency,1-N,4,7.354344506675886,1708.5,168.0,0.12464161623003228,0.09603032416531018,0.7629113793373108,0.8080808222293854,0.42003706419029,0.4267676767676768
10,tail,high_frequency,M-1,14,7.505894669884695,2075.0714285714284,206.28571428571428,0.8032731547647592,0.9331906565598079,0.17476121835144504,0.03735780157148838,0.10113920879977943,0.023825480290064267
10,tail,high_frequency,M-N,43,8.024926494470321,4179.813953488372,297.5348837209302,0.5206290528772282,0.5175363506589618,0.42787213024816345,0.4454614669084549,0.22640866252738698,0.24450800915331805
